open,high,low,close,volume,amount,timestamps
7.4908223,7.5136366,7.47879,7.507478,116662.2,871214.25,2025-09-19 16:49:00
7.5067806,7.515243,7.484674,7.4884605,52691.71,396645.2,2025-09-19 16:50:00
7.487914,7.4929333,7.480051,7.487171,18635.352,136412.1,2025-09-19 16:51:00
7.4888954,7.5032563,7.4843874,7.4987917,42680.26,321411.56,2025-09-19 16:52:00
7.4995623,7.5110984,7.4936743,7.505514,32642.176,242766.16,2025-09-19 16:53:00
7.5045805,7.5145144,7.4970546,7.5098457,38998.05,286602.2,2025-09-19 16:54:00
7.512971,7.5279713,7.5081,7.524197,39049.56,291255.0,2025-09-19 16:55:00
7.5249233,7.534662,7.517805,7.5295,38493.754,286198.03,2025-09-19 16:56:00
7.527973,7.5325856,7.5185027,7.525258,45636.19,340089.53,2025-09-19 16:57:00
7.524443,7.53573,7.520144,7.5291634,36885.215,272526.97,2025-09-19 16:58:00
7.5289235,7.5330014,7.517174,7.524348,72217.4,548154.94,2025-09-19 16:59:00
7.521312,7.5377,7.5070167,7.5090027,86570.484,654484.25,2025-09-19 17:00:00
